"Issue Type","Summary","Description","Labels","Epic Name","Epic Link"
"Epic","P0 프로젝트 기반 세팅","3주차 개발 시작 전 공통 기반 작업","infra","P0 프로젝트 기반 세팅",""
"Epic","MVP1 3단계 신고 흐름","로그인 없는 사진+위치 신고, 3단계 진행 표시 (SFR-001, COR-002, PER-002)","frontend","MVP1 3단계 신고 흐름",""
"Epic","MVP2 AI 분류·오분류 보정","이미지 인식 API 연계 자동 분류와 관리자 재분류 (SFR-002, SFR-005, SIR-001, COR-001, PER-001)","ai","MVP2 AI 분류·오분류 보정",""
"Epic","MVP3 유사 신고 통합·우선순위","반경·유형·시간 조건 통합, 나도 불편해요, 우선순위·부서 배정 (SFR-003, SFR-004, DAR-003, SIR-002)","backend","MVP3 유사 신고 통합·우선순위",""
"Epic","MVP4 접근성 기본 세트","큰 글자·고대비·촬영 가이드 — 멘토 피드백으로 MVP 격상 (COR-002)","frontend","MVP4 접근성 기본 세트",""
"Epic","MVP5 상태 관리·관리자 검수","처리 상태 추적, 무로그인 조회, 대표 문제 카드 관리 화면 (SFR-006, QUR-001, DAR-001)","admin","MVP5 상태 관리·관리자 검수",""
"Story","React 프로젝트 초기화 + 배포 파이프라인","Vite+React 셋업, S3+CloudFront(또는 Amplify) 자동 배포, main 머지 시 배포","infra","","P0 프로젝트 기반 세팅"
"Story","데이터 모델·API 스펙 합의","신고(report)/문제(issue) 2계층 모델, API 엔드포인트 초안 문서화","backend","","P0 프로젝트 기반 세팅"
"Story","협업 규칙 적용","main 브랜치 보호, PR 템플릿, 리뷰 규칙 — docs/COLLABORATION.md 기준","infra","","P0 프로젝트 기반 세팅"
"Story","사진 촬영 화면","촬영 가이드 문구·예시, 미리보기, 재촬영/삭제 (모바일 카메라 호출)","frontend","","MVP1 3단계 신고 흐름"
"Story","클라이언트 이미지 자동 압축","업로드 전 리사이즈·압축 (PER-002), 압축 결과 표시","frontend","","MVP1 3단계 신고 흐름"
"Story","위치 확인 화면","GPS 현재 위치 + 지도에서 수정, 위치 동의 안내 (SER-001)","frontend","","MVP1 3단계 신고 흐름"
"Story","신고 완료 화면","접수번호 발급 표시, 조회 링크 안내, 유사 신고 후보 카드 자리","frontend","","MVP1 3단계 신고 흐름"
"Story","신고 접수 API","사진 업로드(S3 presigned), 신고 저장, 접수번호·조회 토큰 발급","backend","","MVP1 3단계 신고 흐름"
"Story","이미지 분류 API 연동","신고 사진 유형 분류(도로 파손/가로등/쓰레기 등), 수초 내 응답 (PER-001)","ai","","MVP2 AI 분류·오분류 보정"
"Story","신뢰도 임계값·검수 큐 로직","신뢰도 70% 미만 건은 자동 통합 제외 + 관리자 우선 검수 큐로 전달","backend","","MVP2 AI 분류·오분류 보정"
"Story","관리자 수동 재분류 UI","오분류 건 재분류 경로 (COR-001), 수정 결과 라벨 저장 (DAR-002 착수)","admin","","MVP2 AI 분류·오분류 보정"
"Story","유사 신고 통합 판정 로직","반경 50m + 동일 유형 + 72시간 조건, 파라미터는 관리자 설정으로","backend","","MVP3 유사 신고 통합·우선순위"
"Story","유사 신고 후보 선택 UX","후보 카드 제시 → 기존 문제에 추가 / 새 신고로 접수 선택","frontend","","MVP3 유사 신고 통합·우선순위"
"Story","나도 불편해요 버튼","기기당 문제별 1회 공감 추가, 공감 수 표시","frontend","","MVP3 유사 신고 통합·우선순위"
"Story","오통합 분리 기능","관리자 화면에서 개별 신고 분리 + 분리 사유 태그 기록","admin","","MVP3 유사 신고 통합·우선순위"
"Story","우선순위 산정 로직","기본 위험도 + 신고 빈도 + 공감 수 산정식 구현 (SFR-003)","backend","","MVP3 유사 신고 통합·우선순위"
"Story","담당 부서 자동 배정","유형 × 행정구역 매핑 기반 배정 (SFR-004), 구역·부서 기준 데이터 (DAR-003)","backend","","MVP3 유사 신고 통합·우선순위"
"Story","큰 글자·고대비 토글","우상단 토글로 큰 글자·큰 버튼, 검정+노랑 고대비 전환","frontend","","MVP4 접근성 기본 세트"
"Story","촬영 가이드 고도화","예시 이미지, 흐림·근접 사진 재촬영 안내","frontend","","MVP4 접근성 기본 세트"
"Story","고령 사용자 관점 점검","폰트 크기·터치 타깃·대비 검증, 시연 시나리오에 반영","frontend","","MVP4 접근성 기본 세트"
"Story","처리 상태 모델·전환","접수→배정→처리 중→완료 상태 추적·갱신 (SFR-006)","backend","","MVP5 상태 관리·관리자 검수"
"Story","무로그인 상태 조회 화면","접수번호+조회 토큰 URL로 상태 확인, 토큰 만료 정책","frontend","","MVP5 상태 관리·관리자 검수"
"Story","관리자 대시보드","대표 문제 카드 목록(우선순위 정렬), 사진 비교, 상태 변경","admin","","MVP5 상태 관리·관리자 검수"
